"Investor Name","Investor Profile URL","Investor Logo","Number of Funding Rounds","Portfolio Companies","Investor Location","Investor Type","Sectors of Investment","Investor Founded Year","Key People","Portfolio Count","Sectors","Portfolio unicorns","Team members","Linkedin URL","X Profile","Email","Deals in last 12 months"
"Kleiner Perkins","https://platform.tracxn.com/a/d/investor/Uwyqb-9GM-knAxGJkT-kk7UmPt26svggqSQ7omJO7H0/kleinerperkins","https://i.tracxn.com/logo/company/Selection_810_1578310302179.png?devicePixelRatio=1&format=webp&height=14&width=14","1240","Facebook, Slack","Menlo Park","VC","Enterprise Applications
Consumer","1972","Debparna Pratiher","","","","84","","","",""
"Google Ventures","https://platform.tracxn.com/a/d/investor/YkGGYZyeNUNoCMRvkUpXAHykl5mYO_HwIBPJlOoTtNc/googleventures","https://i.tracxn.com/logo/company/Selection_799_1578305198053.png?devicePixelRatio=1&format=webp&height=14&width=14","1220","Slack, Uber","San Francisco","VC","Enterprise Applications
High Tech","2009","Robert Copeland","","","","87","","","",""
"Khosla Ventures","https://platform.tracxn.com/a/d/investmentbank/-24Z99iK6UymolRRiyungIC8C9kCcf5Fba78oTmprrw/khoslaventures","https://i.tracxn.com/logo/company/9a33a7205243f5b93f69a55af71bcb5?devicePixelRatio=1&format=webp&height=14&width=14","1200","OpenAI, Square","Menlo Park","VC","Enterprise Applications
High Tech","2004","Keith Rabois","","","","79","","","hi@tracxn.com",""
"Tiger Global Management","https://platform.tracxn.com/a/d/investor/LfyJjSFXSdee9IX78-VFIcd0m5Ek6iJX9n_48oTnvFc/tigerglobalmanagement","https://i.tracxn.com/logo/company/Selection_317_1579008698066.png?devicePixelRatio=1&format=webp&height=14&width=14","1180","OpenAI, Uber","New York City","PE
VC","Enterprise Applications
Consumer","2001","Eric Lane","","","","86","","","hi@tracxn.com",""
"Index Ventures","https://platform.tracxn.com/a/d/investor/ENnixzcSP2Nvl3-xwlYbuSZ6TI4OhwgASzzfaiY8LoU/indexventures","https://i.tracxn.com/logo/company/b2de2a67de6b28626e8c707e91fafc37?devicePixelRatio=1&format=webp&height=14&width=14","1180","Facebook, Slack","New York City","VC","Enterprise Applications
Consumer","1996","Carlos Gonzalez-Cadenas","","","","87","","","hi@tracxn.com",""
"Intel Capital","https://platform.tracxn.com/a/d/investor/xUoGHuWmRTrEN2-HROqRy_mB6gAGzHp9YIlm1ICiSlY/intelcapital","https://i.tracxn.com/logo/company/12242cc3d9c086feed2cdea23fa9287?devicePixelRatio=1&format=webp&height=14&width=14","1080","Razer, FIS","Santa Clara","VC","Enterprise Applications
High Tech","1991","Chiara Sommer-Yusupov","","","","74","","","hi@tracxn.com",""
"Plug and Play Tech Center","https://platform.tracxn.com/a/d/investor/FLn81cuWYMAwkC0LcCHFDKzC75kv8589JSTf7-m3G9I/plugandplaytechcenter","https://i.tracxn.com/logo/company/Selection_795_1578304740257.png?devicePixelRatio=1&format=webp&height=14&width=14","1020","Google, Apple","Sunnyvale","VC
Incubators","Enterprise Applications
High Tech","2006","Flmi Robert Mcisaac Llif","","","","57","","","",""
"IDG Capital","https://platform.tracxn.com/a/d/investor/SBSyJ0zGR-xBWP8afKsehijQAK46aLS4cVhpKM2U4W4/idgcapital","https://i.tracxn.com/logo/company/Selection_999(584)_1583294062927.png?devicePixelRatio=1&format=webp&height=14&width=14","888","Coinbase, DiDi","New York City","VC
PE","Consumer
Enterprise Applications","1993","Simon Liu","","","","73","","","",""
"Founders Fund","https://platform.tracxn.com/a/d/investor/Ga7paPCM_S0I6TgMQH5pWnS2iWmKmWHtjIHmwzzev1U/foundersfund","https://i.tracxn.com/logo/company/dfgdf.png1495174708369?devicePixelRatio=1&format=webp&height=14&width=14","883","Facebook, OpenAI","San Francisco","VC","Enterprise Applications
Consumer","2005","Michael Solana","","","","76","","","",""
"Norwest","https://platform.tracxn.com/a/d/investor/qwsdwmTsAQRhXJW8RUrGBMP3qbWbSnm7z7Tm_x0jJ0w/norwest","https://i.tracxn.com/logo/company/O_Jm0A47_400x400_e2f42a83-2ec7-452c-a8ae-ed4f30380c45.png?devicePixelRatio=1&format=webp&height=14&width=14","881","Uber, Swiggy","Menlo Park","VC","Enterprise Applications
Consumer","1961","Mark Schiff","","","","75","","","",""
"SV Angel","https://platform.tracxn.com/a/d/investor/OH8_R4Ci4pB1RifG7gdAe0m7OElXkVtZkCjSQAc3TR0/svangel","https://i.tracxn.com/logo/company/Selection_247_d48a5cd7-a604-4be4-b519-9276fca4c0e9.png?devicePixelRatio=1&format=webp&height=14&width=14","857","Slack, Square","San Francisco","VC","Enterprise Applications
Consumer","1999","Topher Conway","","","","78","","","",""
"First Round Capital","https://platform.tracxn.com/a/d/investor/OnYY4Ad4i6Oih7mGnRIqOZGy358scu79KcdehzpvHo8/firstroundcapital","https://i.tracxn.com/logo/company/8e28bd545c49a52ca32e372cb66fda?devicePixelRatio=1&format=webp&height=14&width=14","851","Uber, Square","San Francisco","VC","Enterprise Applications
Consumer","2004","Michael Vaughan","","","","63","","","hi@tracxn.com",""
"Greylock Partners","https://platform.tracxn.com/a/d/investor/Zwz7kFLlhpRHgd8sP2pjAEExOMGMRIjkRimkN-0Amp8/greylockpartners","https://i.tracxn.com/logo/company/68952589ad81c59dc3d39698ac686fe?devicePixelRatio=1&format=webp&height=14&width=14","832","Facebook, Coinbase","Menlo Park","VC","Enterprise Applications
Consumer","1965","Vish Narendra","","","","70","","","",""
"FJ Labs","https://platform.tracxn.com/a/d/investor/eYivVFh8tJ_ZgBuda-lKi3u-JwzAmaOJ29Q6CIZM2tw/fjlabs","https://i.tracxn.com/logo/company/d9982c93197f95af17e82d482aee76a?devicePixelRatio=1&format=webp&height=14&width=14","798","Uber, Nubank","New York City","VC","Consumer
Enterprise Applications","2007","William Guillouard","","","","81","","","",""
"Redpoint Ventures","https://platform.tracxn.com/a/d/investor/Rcp4SB-gkNLuo4kt_cZ8szMiL-2HnLt-XOv-UhiE9Sw/redpointventures","https://i.tracxn.com/logo/company/316452f18b75ec712853684bf613a5?devicePixelRatio=1&format=webp&height=14&width=14","753","Nubank, DraftKings","Woodside","VC","Enterprise Applications
Enterprise Infrastructure","1999","Erica Brescia","","","","59","","","",""
"Menlo Ventures","https://platform.tracxn.com/a/d/investor/gf-xTkVuWVYmMubaHrvdyXPblMl7XVb737tR4PndEbE/menloventures","https://i.tracxn.com/logo/company/MENLO_908c1d45-dad8-4f94-b76e-4d2238b8155f.png?devicePixelRatio=1&format=webp&height=14&width=14","748","Uber, Roku","Menlo Park","VC","Enterprise Applications
Enterprise Infrastructure","1976","Jason James","","","","86","","","hi@tracxn.com",""
"Greycroft","https://platform.tracxn.com/a/d/investor/WeOK38Yv11W9rTsU3YPLcNkWeH12-0iO2xAoDVuXZok/greycroft","https://i.tracxn.com/logo/company/Selection_999(609)_1583468715868.png?devicePixelRatio=1&format=webp&height=14&width=14","730","Bird, Scopely","New York City","VC","Enterprise Applications
Consumer","2006","Stewart Easterby","","","","86","","","hi@tracxn.com",""
"Canaan","https://platform.tracxn.com/a/d/investor/SPFegXVlfduu3g7X4szAdSLQxib2DJXBt2TdeYhNpdI/canaan","https://i.tracxn.com/logo/company/Selection_840_1578473938250.png?devicePixelRatio=1&format=webp&height=14&width=14","725","Instacart, Bird","San Francisco","VC","Enterprise Applications
Life Sciences","1987","Dana Malman Warren","","","","70","","","",""
"Bain Capital Ventures","https://platform.tracxn.com/a/d/investor/tK2yBRb2aOkPVLKkreJojV6J30Z0yT4WYo7_zogPQ0w/baincapitalventures","https://i.tracxn.com/logo/company/Eoh3lRdw_400x400_7967ed9a-f848-4de1-9027-7141f7e4b04a.jpg?devicePixelRatio=1&format=webp&height=14&width=14","693","LinkedIn, DocuSign","Boston","VC","Enterprise Applications
Enterprise Infrastructure","1984","Ben Brewer","","","","88","","","",""
"GGV Capital","https://platform.tracxn.com/a/d/investor/Cl5bO096qZfk1lVcdekd-KoxP-HqkCkCAmRKUQk_5xc/ggvcapital","https://i.tracxn.com/logo/company/Selection_999(250)_1581418913833.png?devicePixelRatio=1&format=webp&height=14&width=14","688","Slack, Square","Menlo Park","VC","Enterprise Applications
Consumer","2000","Terence Jen","","","","74","","","hi@tracxn.com",""
"CRV","https://platform.tracxn.com/a/d/investor/SFCT5m6KawYu6APfBVedgMI67xv_SuIVG6te37Oslmc/crv","https://i.tracxn.com/logo/company/Selection_999(828)_1584095703505.png?devicePixelRatio=1&format=webp&height=14&width=14","682","DoorDash, HubSpot","Palo Alto","VC","Enterprise Applications
Enterprise Infrastructure","1970","Sachin Sood","","","","81","","","hi@tracxn.com",""
"Alumni Ventures","https://platform.tracxn.com/a/d/investor/V8uRwewVOtFRSLY5E6JmCDQ7E1Cpo4P6-5vPvJLV6ug/alumniventures","https://i.tracxn.com/logo/company/av.vc_Logo_d03f3c25-17d6-44a5-af4c-a78f26d08654.jpg?devicePixelRatio=1&format=webp&height=14&width=14","682","Circle, Carta","New York City","VC","Enterprise Applications
High Tech","2014","Liam Tassiello","","","","57","","","",""
"Orbimed","https://platform.tracxn.com/a/d/investor/KgO9u32ZYT6MGwvCD45lkbX25vpNzqPd4RhLdfyUbFM/orbimed","https://i.tracxn.com/logo/company/Selection_262_54d73678-9390-4ff8-bc55-7ab9c533ab98.png?devicePixelRatio=1&format=webp&height=14&width=14","672","Medtronic, Guardant Health","New York City","VC
PE","Life Sciences
Healthcare","1989","Trey Block","","","","84","","","",""
"True Ventures","https://platform.tracxn.com/a/d/investor/x4taHfkBxkFGBsXCPEdarqZM-8fFgjP9C2xDJF4Y7mM/trueventures","https://i.tracxn.com/logo/company/E659_a8a0546e-30f6-46b7-8908-697ad73903cf.jpeg?devicePixelRatio=1&format=webp&height=14&width=14","655","GitHub, Automattic","Palo Alto","VC","Enterprise Applications
Consumer","2005","Lars Nilsson","","","","78","","","hi@tracxn.com",""
"Venrock","https://platform.tracxn.com/a/d/investor/HwIBYoP-1yvA7Oik-a6BmKdcW-ee_PcBB9zXL__H40Y/venrock","https://i.tracxn.com/logo/company/f4f3fd12e0a6c85fb539c0cdb4de40be?devicePixelRatio=1&format=webp&height=14&width=14","639","CloudFlare, athenahealth","Palo Alto","VC","Life Sciences
Enterprise Applications","1969","Yan Poon","","","","81","","","hi@tracxn.com",""
"Polaris Partners","https://platform.tracxn.com/a/d/investor/XJRQmjprasrGaNc_gr_jSgfUZq2bjbOUSpDaabRPSuo/polarispartners","https://i.tracxn.com/logo/company/Selection_807_1578309958887.png?devicePixelRatio=1&format=webp&height=14&width=14","628","Automattic, Akamai","Boston","VC","Life Sciences
Enterprise Applications","1996","Dave Barrett","","","","64","","","hi@tracxn.com",""
"Benchmark","https://platform.tracxn.com/a/d/investor/QMfIAjPd4oEridB_y77m74-0zLT0EKMBKjFAebIS6h8/benchmark","https://i.tracxn.com/logo/company/3542b0b114e730bbec6b93dc27c87?devicePixelRatio=1&format=webp&height=14&width=14","617","Uber, Zillow","San Francisco","VC","Enterprise Applications
Enterprise Infrastructure","1995","Jill Jarrett","","","","80","","","hi@tracxn.com",""
"Mayfield","https://platform.tracxn.com/a/d/investor/Ou3NaJc9_ldVZOI8fq9WB5vch3gb2TGpx7mDBxXid5E/mayfield","https://i.tracxn.com/logo/company/Selection_011_0b57cbbe-262e-46d4-ac1e-efa3243b0a86.png?devicePixelRatio=1&format=webp&height=14&width=14","608","Lyft, Amgen","Menlo Park","VC","Enterprise Applications
Enterprise Infrastructure","1969","Kamini Ramani","","","","84","","","",""
"DFJ","https://platform.tracxn.com/a/d/investor/JVTfXwXRTzUfg9Ls9U8xD_NcH08ahBDlmYcG87i6y5c/dfj","https://i.tracxn.com/logo/company/3d1364334d3328343d2e45bb2d81cff?devicePixelRatio=1&format=webp&height=14&width=14","604","Tesla, athenahealth","Menlo Park","VC","Enterprise Applications
High Tech","1985","Mark Bailey","","","","71","","","",""
"SOSV","https://platform.tracxn.com/a/d/investor/6wnP9IS0Zn2l37ViSHBVAGow5prpS-VTsD9cro_1hek/sosv","https://i.tracxn.com/logo/company/CvkiN0dM_400x400_226272e1-c85f-467a-8001-8d10816dc05b.jpg?devicePixelRatio=1&format=webp&height=14&width=14","596","DraftKings, Particle","New York City","Incubators
VC","High Tech
Consumer","1995","Benjamin Joffe","","","","53","","","hi@tracxn.com",""
"Foundation Capital","https://platform.tracxn.com/a/d/investor/hLXgIfbPeBh12zsnR9GwU7EiSGFhXl5KCbD63G9vfoE/foundationcapital","https://i.tracxn.com/logo/company/Selection_854_1578475430896.png?devicePixelRatio=1&format=webp&height=14&width=14","583","Uber, Stripe","Palo Alto","VC","Enterprise Applications
FinTech","1995","Patricia Hanna","","","","82","","","",""
"Lerer Hippeau","https://platform.tracxn.com/a/d/investor/CxRlCDBQ-wzSjQcV8ZOvGITLTV3snl4FCaHwhMBQ_xI/lererhippeau","https://i.tracxn.com/logo/company/Screenshot_from_2023-09-20_19-25-37_a38edf53-9bdd-42dd-a3cf-36776b867f56.png?devicePixelRatio=1&format=webp&height=14&width=14","575","Scopely, Warby Parker","New York City","VC","Enterprise Applications
Consumer","2010","Eric Hippeau","","","","74","","","",""
"Spark Capital","https://platform.tracxn.com/a/d/investor/CR1gsxGt-yRBrzNbE2VB3ECvBW8cP8FWf8GDgZWwC84/sparkcapital","https://i.tracxn.com/logo/company/_wEyD2xR_400x400_39dd135f-4a30-47ff-b610-d83612fe4ccf.jpg?devicePixelRatio=1&format=webp&height=14&width=14","572","Slack, Affirm","San Francisco","VC","Enterprise Applications
Consumer","2005","Paul Conway","","","","83","","","hi@tracxn.com",""
"Atlas Venture","https://platform.tracxn.com/a/d/investor/QeloFsl43kwc4so32VQXiTJDMFnjqNxBmeCI49EQQEc/atlasventure","https://i.tracxn.com/logo/company/a_339fb9cb-d664-4ca3-bea5-09adf602a14e.JPG?devicePixelRatio=1&format=webp&height=14&width=14","566","DraftKings, AOL","Cambridge","VC","Life Sciences
Enterprise Applications","1980","Robert Copeland","","","","71","","","hi@tracxn.com",""
"Gaingels","https://platform.tracxn.com/a/d/investor/90U9HPgGwa_yTZLWebwrfx9n9reSqJKbbE4LAwpZyMk/gaingels","https://i.tracxn.com/logo/company/a8545f9ca1d19358867976c57c67e7?devicePixelRatio=1&format=webp&height=14&width=14","559","Brex, Carta","New York City","VC","Enterprise Applications
Consumer","2014","James Bain","","","","83","","","",""
"Matrix","https://platform.tracxn.com/a/d/investor/uk20e2jiLmEV_rZpArRCdRJb-FGinOo75VsGlTlXi-4/matrix","https://i.tracxn.com/logo/company/mat_148ee4b8-0419-4240-b433-16082b020b7a.jpg?devicePixelRatio=1&format=webp&height=14&width=14","552","HubSpot, DiDi","San Francisco","VC","Enterprise Applications
Enterprise Infrastructure","1977","Erin Mauro","","","","69","","","hi@tracxn.com",""
"Felicis Ventures","https://platform.tracxn.com/a/d/investor/nNjjoEDpblGOEywsPjok4WY7Y2lTf8K1sxHrNzSPyrI/felicisventures","https://i.tracxn.com/logo/company/9691a5753d25da9ded1fd10cc39ebef?devicePixelRatio=1&format=webp&height=14&width=14","546","Shopify, Canva","Menlo Park","VC","Enterprise Applications
High Tech","2006","Ryan Thompson","","","","87","","","",""
"Partech Partners","https://platform.tracxn.com/a/d/investor/2ujdkQsprurmSSu3l7M9DCFJ-LTYKZE05S7C7Szajxw/partechpartners","https://i.tracxn.com/logo/company/Capture_a2f90085-b229-489d-8d01-d64da443c13c.PNG?devicePixelRatio=1&format=webp&height=14&width=14","541","Xendit, Alan","San Francisco","VC
PE","Enterprise Applications
Consumer","1982","Subarna Bhattacharjee","","","","74","","","hi@tracxn.com",""
"Salesforce Ventures","https://platform.tracxn.com/a/d/investor/rgoEPmRt45GH5PcCSjmeM7WPx_Wtdn4c7nNx1Vw2qxA/salesforceventures","https://i.tracxn.com/logo/company/salesforceventures.com_Logo_0294b980-7396-4b78-a8d4-5f3e2a780cc8.jpg?devicePixelRatio=1&format=webp&height=14&width=14","526","HubSpot, Robinhood","San Francisco","VC
Social Impact Funds","Enterprise Applications
Enterprise Infrastructure","2009","Ajit Naidu","","","","79","","","hi@tracxn.com",""
"Eight Roads Ventures","https://platform.tracxn.com/a/d/investor/AnFuql2sxip4LevQGTog-wFdqmhY0-n57YsPgqJ0AKU/eightroadsventures","https://i.tracxn.com/logo/company/1af78932ab28f912c391c7b8f112c470?devicePixelRatio=1&format=webp&height=14&width=14","525","Shadowfax, Prosper","Boston","VC","Enterprise Applications
Life Sciences","1969","Nao Kitazawa","","","","84","","","",""
"Alchemist Accelerator","https://platform.tracxn.com/a/d/investor/BSnymLM7yUsc5Sw1dGwjpC_QTe5SVqMJiWFUtMEE58o/alchemistaccelerator","https://i.tracxn.com/logo/company/4ddce18f98216b2b253ba71ffd15e?devicePixelRatio=1&format=webp&height=14&width=14","524","LaunchDarkly, Cobalt","San Francisco","Incubators","Enterprise Applications
High Tech","2012","Latrice Barnett","","","","58","","","",""
"BoxGroup","https://platform.tracxn.com/a/d/investor/VQ9LVWKDigQAqVeTNmU23czQyf_jN8sX1zhP-xRFKso/boxgroup","https://i.tracxn.com/logo/company/Selection_999(582)_1583293908314.png?devicePixelRatio=1&format=webp&height=14&width=14","524","Stripe, Ramp","New York City","VC","Enterprise Applications
Consumer","2007","Brian Aledort","","","","86","","","",""
"Qiming Venture Partners","https://platform.tracxn.com/a/d/investor/pojeJl6rZQYporj6yNh8OPQIKS44z0t12Je5LgwzX2k/qimingventurepartners","https://i.tracxn.com/logo/company/7d29bda3280ac504ee1a6a7ba42b4a?devicePixelRatio=1&format=webp&height=14&width=14","520","Meitu, Bilibili","Palo Alto","VC","Life Sciences
High Tech","2006","Grace Lee","","","","69","","","hi@tracxn.com",""
"Madrona","https://platform.tracxn.com/a/d/investor/UtVrInDilPhNX-6MSYr5s5Aq75ZY1uAh3bpXbwo-LGY/madrona","https://i.tracxn.com/logo/company/STRTEE_18523cea-81a1-4762-b2ed-1f02eb7bc8a4.png?devicePixelRatio=1&format=webp&height=14&width=14","518","Amazon, Rover","Seattle","VC","Enterprise Applications
High Tech","1995","Hope Cochran","","","","68","","","hi@tracxn.com",""
"DCM Ventures","https://platform.tracxn.com/a/d/investor/1eHjUceCqs4sw1QFX8n42JMYVDnvebWItW-is7jnSIY/dcmventures","https://i.tracxn.com/logo/company/304f662b3bf5c2924b85c9b035fcdee6?devicePixelRatio=1&format=webp&height=14&width=14","517","SoFi, Kuaishou Technology","Menlo Park","VC","Enterprise Applications
Consumer","1996","Kyle Lui","","","","64","","","hi@tracxn.com",""
"Lux Capital","https://platform.tracxn.com/a/d/investor/QJ9g7fE7W3gwMFVMZYWWy7GU54lvwhfSlcsX04bAlAU/luxcapital","https://i.tracxn.com/logo/company/l1_d6126723-1958-408f-9572-2602930119a1.PNG?devicePixelRatio=1&format=webp&height=14&width=14","515","Ramp, Databricks","Menlo Park","VC","Enterprise Applications
High Tech","2000","Kyle Johnson","","","","84","","","",""
"Zhen Fund","https://platform.tracxn.com/a/d/investor/kFNenTHXXc86UtNqdg8gFnfXg-Vee979c2YBLu2NdbE/zhenfund","https://i.tracxn.com/logo/company/Selection_999(606)_1583468353822.png?devicePixelRatio=1&format=webp&height=14&width=14","511","Substack, Ehang","San Francisco","VC","Consumer
Enterprise Applications","2006","Emma Yin","","","","55","","","hi@tracxn.com",""
"Coatue","https://platform.tracxn.com/a/d/investor/Gbtj-JXc1zgd_uuNZIhF1fwjGC6ahEKN4Newrzo_4MM/coatue","https://i.tracxn.com/logo/company/16a1c33ad5998a5b87f40f8becc272f?devicePixelRatio=1&format=webp&height=14&width=14","500","OpenAI, Swiggy","New York City","PE
Social Impact Funds","Enterprise Applications
High Tech","1999","Jared Schulman","","","","86","","","hi@tracxn.com",""
"Qualcomm Ventures","https://platform.tracxn.com/a/d/investor/jN0ldVe3Yfs8WMrq6qmslXm8kMLUYIm_5IbijsHO9wU/qualcommventures","https://i.tracxn.com/logo/company/QcblwUv3_400x400_19aadd54-a1cd-456a-a323-86bc4bde9c94.jpg?devicePixelRatio=1&format=webp&height=14&width=14","490","Coinbase, PayPal","San Diego","VC","Enterprise Applications
High Tech","1998","Michel Glezer","","","","73","","","hi@tracxn.com",""
"RRE Ventures","https://platform.tracxn.com/a/d/investor/SYVDJMIUklqVLQd-T_-DXLLelO7t-o6QXQzKn8amj6o/rreventures","https://i.tracxn.com/logo/company/Selection_862_1578477993756.png?devicePixelRatio=1&format=webp&height=14&width=14","489","Palantir, Spring Health","New York City","VC","Enterprise Applications
Consumer","1994","Tricia Han","","","","56","","","",""
"8VC","https://platform.tracxn.com/a/d/investor/07cpe8LO2ctOg0SJR24TfEtBkbQycRZ6D82c1-rpomk/8vc","https://i.tracxn.com/logo/company/Selection_999(583)_1583293968662.png?devicePixelRatio=1&format=webp&height=14&width=14","484","Salesforce, Ramp","Austin","VC","Enterprise Applications
High Tech","2015","Karen White","100","Enterprise Applications
High Tech","10","80","","","hi@tracxn.com","10"
"USVP","https://platform.tracxn.com/a/d/investor/kif1wkwJM3LPPyTFcC4zii1cw-WvpkQyapLqfQ-hSlA/usvp","https://i.tracxn.com/logo/company/48_434a971b-6698-4674-b585-ee995a2c3962.jpg?devicePixelRatio=1&format=webp&height=14&width=14","483","Pluto TV, Oracle","Menlo Park","VC","Enterprise Applications
Enterprise Infrastructure","1981","Matt Garratt","","","","70","","","hi@tracxn.com",""
"Headline","https://platform.tracxn.com/a/d/investor/CoMkvfgRQg6iUx0u2E5BtyaPxOOoXyUJqv6Robxqtzc/headline","https://i.tracxn.com/logo/company/ea2cd723d8ed1ed758d629718e66588?devicePixelRatio=1&format=webp&height=14&width=14","483","Bird, Scopely","San Francisco","VC","Enterprise Applications
Consumer","1998","Patrick Reilly","","","","80","","","",""
"F-Prime Capital","https://platform.tracxn.com/a/d/investor/aWmzHkzORV3z4hkXwE4HrRhAsDPOfEVa82ha0fYjfJs/f-primecapital","https://i.tracxn.com/logo/company/f_prime_capital_partners_logo_1639217a-f9d0-451c-b716-cfbc1ce1a0da.jpeg?devicePixelRatio=1&format=webp&height=14&width=14","462","Prosper, Toast","Cambridge","VC","Life Sciences
Enterprise Applications","1946","Allison Macleod","","","","86","","","hi@tracxn.com",""
"Nexus Venture Partners","https://platform.tracxn.com/a/d/investor/iY0v_bLCrnh6fprLjylqgn6P8FkyGFZnEDHngta3cuw/nexusventurepartners","https://i.tracxn.com/logo/company/Capture6_1586332772225.PNG?devicePixelRatio=1&format=webp&height=14&width=14","461","Delhivery, Rapido","Menlo Park","VC","Enterprise Applications
Consumer","2006","Abid Shah","","","","81","","","hi@tracxn.com",""
